NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
65_2014,2014,60,76,Success,GSL,12,406010,4547420,10,2
66_2014,2014,60,64,Success,GSL,12,405956,4547411,10,3
67_2014,2014,61,70,Gull,GSL,12,405523,4548960,30,2.666666667
68_2014,2014,61,68,Success,GSL,12,289093,4422076,70,2.666666667
69_2014,2014,61,65,Success,West,12,290986,4423391,20,3.333333333
70_2014,2014,61,71,Success,West,12,405126,4549380,100,1
71_2014,2014,62,73,Success,GSL,12,402222,4549505,60,2.666666667
72_2014,2014,62,67,Success,GSL,12,399963,4512389,80,2
73_2014,2014,63,69,Coyote,GSL,12,400108,4512044,70,2.333333333
74_2014,2014,63,69,Other,GSL,12,402304,4549342,20,2
75_2014,2014,64,74,Success,GSL,12,400445,4512347,90,0
76_2014,2014,65,90,Success,West,12,290616,4423481,10,1.666666667
77_2014,2014,65,80,Success,West,12,290580,4422005,60,3
78_2014,2014,65,73,Success,West,12,292993,4421102,50,3
79_2014,2014,68,78,Coyote,GSL,12,291403,4423151,60,2.333333333
80_2014,2014,68,74,Other,West,12,400593,4512085,90,1
81_2014,2014,72,75,Coyote,West,12,291630,4423507,30,2
82_2014,2014,74,78,Success,West,12,292791,4421336,60,1
83_2014,2014,75,81,Success,West,12,293677,4422961,60,1
84_2014,2014,76,85,Raven,GSL,12,405496,4549080,80,2.333333333
85_2014,2014,77,79,Success,GSL,12,403757,4548928,40,1.333333333
86_2014,2014,77,83,Success,West,12,295894,4420267,70,1.333333333
87_2014,2014,78,82,Success,GSL,12,404146,4548587,20,2.333333333
88_2014,2014,88,110,Success,West,12,293753,4422111,20,2.666666667
89_2014,2014,88,89,Success,GSL,12,404905,4548973,80,2.333333333
90_2014,2014,91,95,Success,GSL,12,400248,4512274,20,2
91_2014,2014,93,99,Raven,West,12,293654,4422309,50,4
92_2014,2014,96,105,Success,GSL,12,404502,4548812,80,3
1_2015,2015,1,10,Success,GSL,12,403924,4549191,90,0
2_2015,2015,5,12,Success,West,12,292321,4422526,60,1.333333333
3_2015,2015,6,14,Success,West,12,292041,4421088,40,2.333333333
4_2015,2015,7,13,Raven,GSL,12,401845,4513953,80,2
5_2015,2015,10,18,Raven,GSL,12,401388,4514208,50,2
6_2015,2015,11,19,Coyote,West,12,401093,4514531,50,1.666666667
7_2015,2015,11,13,Raven,GSL,12,295474,4417694,60,2
8_2015,2015,14,21,Gull,GSL,12,405351,4548893,60,1.666666667
9_2015,2015,14,23,Success,GSL,12,399780,4511754,90,1.333333333
10_2015,2015,16,24,Gull,GSL,12,396431,4545284,90,1
11_2015,2015,16,26,Gull,GSL,12,396566,4544977,100,1
12_2015,2015,18,25,Raven,GSL,12,402081,4513730,100,1
13_2015,2015,21,29,Success,West,12,295479,4417586,50,3
14_2015,2015,22,30,Gull,GSL,12,290976,4422353,70,3.333333333
15_2015,2015,22,30,Gull,GSL,12,291333,4422280,70,2.666666667
16_2015,2015,22,28,Success,West,12,397085,4544737,40,1
17_2015,2015,22,36,Success,West,12,396478,4544964,70,2
18_2015,2015,23,29,Gull,GSL,12,396441,4545392,70,1.666666667
19_2015,2015,25,30,Raven,GSL,12,401120,4514360,50,1
20_2015,2015,29,30,Raven,GSL,12,401102,4514456,60,2
21_2015,2015,30,44,Fox,West,12,290839,4422009,70,3.333333333
22_2015,2015,31,43,Fox,West,12,292917,4421310,40,3
23_2015,2015,31,39,Success,West,12,292838,4421407,60,2.333333333
24_2015,2015,34,40,Raven,GSL,12,400461,4512776,100,1
25_2015,2015,35,44,Fox,West,12,396845,4544896,50,1
26_2015,2015,35,42,Gull,GSL,12,396663,4544783,40,1.666666667
27_2015,2015,35,38,Gull,GSL,12,400751,4512506,10,1.666666667
28_2015,2015,35,40,Raven,GSL,12,293636,4422726,60,3
29_2015,2015,35,42,Success,West,12,292234,4420840,50,2.333333333
30_2015,2015,36,50,Fox,West,12,293842,4421520,50,2.666666667
31_2015,2015,36,42,Gull,GSL,12,406107,4547661,90,0.666666667
32_2015,2015,36,50,Success,West,12,293679,4422647,30,2
33_2015,2015,41,48,Fox,West,12,290329,4421371,20,3
