NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
58_2017,2017,32,45,Success,West,12,301457,4417186,80,2
59_2017,2017,32,35,Success,West,12,300633,4413699,40,3.666666667
60_2017,2017,33,45,Fox,West,12,293740,4421412,30,3.666666667
61_2017,2017,33,42,Gull,GSL,12,293641,4422209,60,2
62_2017,2017,33,41,Success,West,12,404980,4549108,80,2.333333333
63_2017,2017,34,43,Fox,GSL,12,248512,4490545,30,1
64_2017,2017,34,54,Success,West,12,400547,4512097,60,2
65_2017,2017,34,57,Success,West,12,293029,4421934,20,1.333333333
66_2017,2017,35,49,Success,West,12,300775,4414317,20,2
67_2017,2017,35,63,Success,West,12,291711,4420936,70,3
68_2017,2017,36,54,Success,GSL,12,404353,4548737,30,2.333333333
69_2017,2017,36,59,Success,West,12,290565,4422072,60,4.666666667
70_2017,2017,36,57,Success,West,12,247155,4490355,90,0
71_2017,2017,36,48,Success,GSL,12,404274,4548865,10,3
72_2017,2017,37,47,Fox,West,12,403602,4549180,40,2.333333333
73_2017,2017,37,45,Success,GSL,12,249981,4490443,20,3
74_2017,2017,37,59,Success,West,12,290991,4423377,10,3
75_2017,2017,37,56,Success,West,12,289106,4422053,60,2.666666667
76_2017,2017,38,48,Fox,West,12,292985,4421123,70,2.666666667
77_2017,2017,38,45,Raven,West,12,290582,4422013,10,3.333333333
78_2017,2017,39,41,Abandon,West,12,290597,4423461,10,3.333333333
79_2017,2017,39,45,Fox,West,12,249924,4491653,30,2.333333333
80_2017,2017,40,56,Success,GSL,12,400205,4512232,90,1.666666667
81_2017,2017,41,42,Coyote,West,12,291385,4423133,50,2.666666667
82_2017,2017,41,46,Fox,GSL,12,404988,4548810,40,2.333333333
83_2017,2017,41,46,Gull,GSL,12,400271,4512276,70,2.333333333
84_2017,2017,41,49,Gull,GSL,12,404795,4548777,50,1.333333333
85_2017,2017,41,44,Raven,GSL,12,403807,4549233,80,2
86_2017,2017,41,54,Success,GSL,12,249219,4492321,100,0
87_2017,2017,41,60,Success,West,12,404647,4548798,90,1
88_2017,2017,42,53,Success,West,12,248965,4491981,80,1.666666667
89_2017,2017,43,44,Gull,GSL,12,404682,4548821,50,1.333333333
90_2017,2017,45,57,Success,GSL,12,404727,4548800,90,0
91_2017,2017,45,51,Success,West,11,752873,4483280,80,2.333333333
92_2017,2017,48,51,Fox,West,12,291608,4423490,40,3.666666667
93_2017,2017,48,54,Success,GSL,12,400755,4522303,80,3.666666667
94_2017,2017,49,50,Coyote,West,11,752809,4485318,20,3
95_2017,2017,49,52,Raven,West,11,752695,4483281,90,0
96_2017,2017,49,52,Success,West,11,753868,4484627,100,0
97_2017,2017,50,62,Success,West,11,752690,4483559,50,2.333333333
98_2017,2017,53,60,Success,West,12,295483,4417574,60,3.666666667
99_2017,2017,54,59,Abandon,West,11,754154,4483304,60,2
100_2017,2017,54,58,Weather,West,12,292874,4421749,20,3
101_2017,2017,54,55,Abandon,West,12,293661,4422939,10,2.666666667
102_2017,2017,54,65,Coyote,West,12,292802,4421329,40,2.333333333
103_2017,2017,54,57,Success,West,12,292821,4421701,40,2.333333333
104_2017,2017,54,60,Success,West,12,289727,4423430,70,2.666666667
105_2017,2017,54,58,Success,West,12,293012,4421484,80,2
106_2017,2017,54,64,Success,West,12,292244,4422627,50,3.666666667
107_2017,2017,54,59,Success,GSL,12,400488,4522532,60,2.666666667
108_2017,2017,55,66,Abandon,West,12,293929,4421413,60,2.666666667
109_2017,2017,55,66,Coyote,GSL,12,294124,4420521,70,1.666666667
110_2017,2017,55,70,Success,West,12,401270,4523807,20,2.666666667
111_2017,2017,56,70,Success,West,12,293951,4421902,50,1.666666667
112_2017,2017,58,66,Weather,GSL,12,293917,4422023,70,2.333333333
113_2017,2017,58,71,Success,West,12,401206,4523012,90,0
114_2017,2017,58,66,Success,GSL,12,401121,4523107,20,1.333333333
115_2017,2017,59,71,Success,GSL,12,401255,4523020,30,2.666666667
116_2017,2017,60,69,Weather,GSL,12,401259,4523101,90,1.333333333
117_2017,2017,60,69,Success,West,12,293644,4422709,70,3.666666667
118_2017,2017,61,65,Success,West,12,293524,4423083,30,3
119_2017,2017,61,66,Success,West,11,752703,4484467,90,0
120_2017,2017,63,73,Success,West,12,292454,4421559,80,3.333333333
121_2017,2017,63,72,Success,West,12,292901,4421428,20,2.666666667
122_2017,2017,63,66,Success,West,12,294135,4422176,60,2.666666667
123_2017,2017,64,71,Success,GSL,12,401356,4523010,50,2
124_2017,2017,64,74,Success,West,12,290596,4421382,80,3.666666667
125_2017,2017,66,73,Success,GSL,12,400442,4522611,20,3.333333333
126_2017,2017,69,76,Coyote,GSL,11,753652,4491371,50,3
127_2017,2017,69,74,Success,West,12,401597,4523306,90,1.333333333
128_2017,2017,77,85,Success,GSL,12,401458,4523318,60,2.333333333
129_2017,2017,78,84,Success,West,11,753569,4483528,100,0
